,y_true,y_lasso,y_enet,,,
249,-0.243178631,0.014250804,0.016117494,,0.066269914,0.067234481
250,-0.272560935,0.014250804,0.016117494,,0.082260974,0.083335235
251,-0.204781302,0.014250804,0.016117494,,0.047975064,0.048796278
252,-0.216467446,0.014250804,0.016117494,,0.053230911,0.054095754
253,-0.039839733,0.014250804,0.016117494,,0.002925786,0.003131211
254,-0.108621035,0.014250804,0.016117494,,0.015097489,0.015559701
255,-0.028821369,0.014250804,0.016117494,,0.001855212,0.002019501
256,0.021262104,0.014250804,0.016117494,,4.91583E-05,2.6467E-05
257,0.023599332,0.014250804,0.016117494,,8.7395E-05,5.59779E-05
258,0.175485279,0.013437523,0.014601208,,0.026259475,0.025883684
259,-0.062193696,0.013437523,0.014601208,,0.005720081,0.005897457
260,0.176992438,0.013437523,0.014601208,,0.02675021,0.026370912
261,-0.016602136,0.013437523,0.014601208,,0.000902381,0.000973649
262,-0.039510953,0.013437523,0.014601208,,0.002803541,0.002928126
263,0.055515422,0.013437523,0.014601208,,0.00177055,0.001673973
264,0.113616402,0.013437523,0.014601208,,0.010035808,0.009804009
265,0.716555362,0.013437523,0.014601208,,0.494374696,0.492739635
266,0.355289349,0.013437523,0.014601208,,0.116862671,0.116068409
267,0.34383494,0.013437523,0.014601208,,0.109162453,0.108394851
268,0.088974352,0.013437523,0.014601208,,0.005705813,0.005531365
269,-0.002434841,0.013437523,0.014601208,,0.000251932,0.000290227
270,-0.261158351,0.013879467,0.01542517,,0.075645801,0.076498444
271,-0.303962779,0.013879467,0.01542517,,0.101023693,0.102008662
272,-0.323642976,0.013879467,0.01542517,,0.113921399,0.114967208
273,-0.206299802,0.013879467,0.01542517,,0.04847891,0.049161963
274,-0.010727846,0.013879467,0.01542517,,0.00060552,0.00068398
275,-0.265586395,0.013879467,0.01542517,,0.078101168,0.0789675
276,-0.230162041,0.013879467,0.01542517,,0.059556257,0.060313078
277,0.152617787,0.013879467,0.01542517,,0.019248321,0.018821814
278,0.272420985,0.013879467,0.01542517,,0.066843717,0.066046849
279,0.170821969,0.013879467,0.01542517,,0.024630949,0.024148165
280,0.120391465,0.013879467,0.01542517,,0.011344806,0.011017923
281,0.010674368,0.013879467,0.01542517,,1.02727E-05,2.25701E-05
282,0.606644234,0.013094951,0.013962515,,0.352300751,0.35127162
283,-0.11297559,0.013094951,0.013962515,,0.015893781,0.016113282
284,0.108002007,0.013094951,0.013962515,,0.009007349,0.008843426
285,-0.10075563,0.013094951,0.013962515,,0.012961955,0.013160253
286,-0.152690457,0.013094951,0.013962515,,0.027484802,0.027773213
287,-0.171359839,0.013094951,0.013962515,,0.03402357,0.034344375
288,-0.202588624,0.013094951,0.013962515,,0.046519405,0.046894396
289,-0.037958617,0.013094951,0.013962515,,0.002606467,0.002695804
290,-0.126892765,0.013094951,0.013962515,,0.019596561,0.01984021
291,-0.05866466,0.013094951,0.013962515,,0.005149442,0.005274706
292,-0.173735943,0.013094951,0.013962515,,0.034905783,0.035230711
293,-0.119085569,0.013094951,0.013962515,,0.01747169,0.017701793
294,0.125155421,0.012234599,0.012358469,,0.012751112,0.012723152
295,-0.180639165,0.012234599,0.012358469,,0.037200289,0.037248087
296,-0.110949022,0.012234599,0.012358469,,0.015174204,0.015204737
297,-0.004918073,0.012234599,0.012358469,,0.000294214,0.000298479
298,-0.035645259,0.012234599,0.012358469,,0.002292481,0.002304358
299,0.384416048,0.012234599,0.012358469,,0.138519031,0.138426842
300,0.194254656,0.012234599,0.012358469,,0.033131301,0.033086223
301,0.573174035,0.012234599,0.012358469,,0.31465305,0.314514099
302,0.320265662,0.012234599,0.012358469,,0.094883136,0.09480684
303,0.339174699,0.012234599,0.012358469,,0.106889829,0.106808849
304,0.233402273,0.012234599,0.012358469,,0.04891514,0.048860363
305,0.181993328,0.012234599,0.012358469,,0.028818026,0.028775985
306,-0.289428447,0.013882082,0.015430046,,0.091997277,0.092938701
307,-0.289428447,0.013882082,0.015430046,,0.091997277,0.092938701
308,-0.103264623,0.013882082,0.015430046,,0.01372335,0.014088424
309,0.181866292,0.013882082,0.015430046,,0.028218695,0.027701024
310,-0.23442004,0.013882082,0.015430046,,0.061653944,0.062425065
311,-0.254597796,0.013882082,0.015430046,,0.072081445,0.072915035
312,-0.044893256,0.013882082,0.015430046,,0.00345454,0.003638901
313,-0.172205291,0.013882082,0.015430046,,0.03462851,0.03520702
314,-0.289188236,0.013882082,0.015430046,,0.091851617,0.092792297
315,-0.225292007,0.013882082,0.015430046,,0.057204245,0.057947107
316,-0.223610527,0.013882082,0.015430046,,0.056402739,0.057140396
317,0.103954296,0.012833446,0.013474963,,0.008303009,0.00818651
318,0.006161084,0.012833446,0.013474963,,4.45204E-05,5.34928E-05
319,-0.00011202,0.012833446,0.013474963,,0.000167585,0.000184606
320,0.195810463,0.012833446,0.013474963,,0.033480589,0.033246235
321,0.000224039,0.012833446,0.013474963,,0.000158997,0.000175587
322,0.214517755,0.012833446,0.013474963,,0.040676561,0.040418204
323,-0.116052425,0.012833446,0.013474963,,0.016611568,0.016777344
324,0.438333147,0.012833446,0.013474963,,0.181049995,0.180504477
325,0.390164669,0.012833446,0.013474963,,0.142378852,0.141895135
326,0.120869273,0.012833446,0.013474963,,0.01167174,0.011533538
327,0.024532318,0.012833446,0.013474963,,0.000136864,0.000122265
328,-0.07874986,0.012833446,0.013474963,,0.008387502,0.008505418
329,-0.285195277,0.009488794,0.007239173,,0.086838702,0.085517908
330,-0.228882834,0.009488794,0.007239173,,0.056821033,0.055753602
331,-0.164396004,0.009488794,0.007239173,,0.030235923,0.029458634
332,-0.036330609,0.009488794,0.007239173,,0.002099418,0.001898326
333,0.714804723,0.009488794,0.007239173,,0.49747056,0.500649007
334,-0.022502713,0.014324026,0.016254009,,0.001356209,0.001502083
335,-0.064185387,0.014324026,0.016254009,,0.006163728,0.006470496
336,-0.060343666,0.014324026,0.016254009,,0.005575264,0.005867204
337,-0.009056689,0.014324026,0.016254009,,0.000546658,0.000640631
338,0.04261446,0.014324026,0.016254009,,0.000800349,0.000694873
339,0.143267552,0.014324026,0.016254009,,0.016626433,0.01613244
340,0.198588336,0.014324026,0.016254009,,0.033953336,0.033245807
341,0.080647499,0.014324026,0.016254009,,0.004398803,0.004146522
342,0.075653261,0.014324026,0.016254009,,0.003761275,0.003528271
343,-0.005022882,0.014324026,0.016254009,,0.000374303,0.000452706
344,-0.074674238,0.013359071,0.014454942,,0.007749863,0.007944011
345,-0.064355573,0.013359071,0.014454942,,0.006039566,0.006211097
346,-0.125721279,0.013359071,0.014454942,,0.019343344,0.019649373
347,-0.132094571,0.013359071,0.014454942,,0.021156762,0.02147676
348,-0.146662098,0.013359071,0.014454942,,0.025606775,0.025958701
349,-0.1773753,0.013359071,0.014454942,,0.0363796,0.036798842
350,-0.254340398,0.013359071,0.014454942,,0.071663006,0.072250935
351,-0.133247834,0.013359071,0.014454942,,0.021493585,0.02181611
352,0.054430466,0.013359071,0.014454942,,0.001686859,0.001598043
353,-0.157162857,0.013359071,0.014454942,,0.029077728,0.029452669
354,0.003929708,0.013359071,0.014454942,,8.89129E-05,0.000110781
355,-0.074856332,0.013359071,0.014454942,,0.007781957,0.007976504
356,-0.382766233,0.012182298,0.012260958,,0.155984342,0.156046482
357,-0.35442444,0.012182298,0.012260958,,0.1344005,0.134458181
358,-0.316776385,0.012182298,0.012260958,,0.108213815,0.108265574
359,-0.350194321,0.012182298,0.012260958,,0.131316814,0.13137383
360,-0.307470125,0.012182298,0.012260958,,0.102177671,0.102227965
361,-0.463138484,0.012182298,0.012260958,,0.225929845,0.226004629
362,-0.103578416,0.012182298,0.012260958,,0.013400543,0.013418761
363,-0.221175709,0.012182298,0.012260958,,0.054455959,0.054492677
364,-0.095964203,0.012182298,0.012260958,,0.011695666,0.011712685
