,id,year,month,pSales,predict,error
13432,262,2015,12,6.0,-1.0,-7.0
13433,262,2015,11,5.0,-1.0,-6.0
13434,262,2015,10,5.0,-1.0,-6.0
13435,262,2015,9,3.0,-1.0,-4.0
13436,262,2015,8,2.0,-1.0,-3.0
13508,264,2015,12,-1.0,-1.0,0.0
13509,264,2015,11,-0.0,-1.0,-1.0
13510,264,2015,10,-0.0,-1.0,-1.0
13511,264,2015,9,-1.0,-1.0,0.0
13512,264,2015,8,-1.0,-1.0,0.0
13611,267,2016,8,-2.0,-2.0,0.0
13619,267,2015,12,-4.0,-1.0,3.0
13620,267,2015,11,1.0,-1.0,-2.0
13621,267,2015,10,2.0,-1.0,-3.0
13622,267,2015,9,2.0,-1.0,-3.0
13623,267,2015,8,-2.0,-1.0,1.0
13633,268,2016,8,1.0,-2.0,-3.0
13641,268,2015,12,2.0,-1.0,-3.0
13642,268,2015,11,3.0,-1.0,-4.0
13643,268,2015,10,3.0,-1.0,-4.0
13644,268,2015,9,2.0,-1.0,-3.0
13645,268,2015,8,1.0,-1.0,-2.0
13689,269,2016,8,-4.0,-1.0,3.0
13697,269,2015,12,-3.0,-1.0,2.0
13698,269,2015,11,-3.0,-1.0,2.0
13699,269,2015,10,-3.0,-1.0,2.0
13700,269,2015,9,-3.0,-1.0,2.0
13701,269,2015,8,-4.0,-1.0,3.0
13805,270,2016,8,-0.0,-2.0,-2.0
13813,270,2015,12,5.0,-1.0,-6.0
13814,270,2015,11,4.0,-1.0,-5.0
13815,270,2015,10,3.0,-1.0,-4.0
13816,270,2015,9,1.0,-2.0,-3.0
13817,270,2015,8,-0.0,-2.0,-2.0
13861,271,2016,8,-3.0,-1.0,2.0
13869,271,2015,12,-0.0,-1.0,-1.0
13870,271,2015,11,-1.0,-1.0,0.0
13871,271,2015,10,-2.0,-1.0,1.0
13872,271,2015,9,-0.0,-1.0,-1.0
13873,271,2015,8,-1.0,-1.0,0.0
13905,272,2016,8,-2.0,-1.0,1.0
13913,272,2015,12,2.0,-1.0,-3.0
13914,272,2015,11,1.0,-1.0,-2.0
13915,272,2015,10,-0.0,-1.0,-1.0
13916,272,2015,9,0.0,-1.0,-1.0
13917,272,2015,8,-2.0,-1.0,1.0
13928,273,2016,8,14.0,-1.0,-15.0
